,drug,HC03_VC75,HC03_VC76,HC03_VC77,HC03_VC78,HC03_VC79,HC03_VC80
430,low,HC03_VC75_3,HC03_VC76_3,HC03_VC77_2,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
431,low,HC03_VC75_1,HC03_VC76_2,HC03_VC77_2,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
432,low,HC03_VC75_4,HC03_VC76_3,HC03_VC77_4,HC03_VC78_4,HC03_VC79_1,HC03_VC80_1
433,low,HC03_VC75_3,HC03_VC76_1,HC03_VC77_2,HC03_VC78_4,HC03_VC79_1,HC03_VC80_3
434,low,HC03_VC75_3,HC03_VC76_1,HC03_VC77_4,HC03_VC78_1,HC03_VC79_3,HC03_VC80_4
435,low,HC03_VC75_2,HC03_VC76_4,HC03_VC77_3,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
436,low,HC03_VC75_2,HC03_VC76_3,HC03_VC77_3,HC03_VC78_2,HC03_VC79_2,HC03_VC80_2
437,low,HC03_VC75_2,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
438,low,HC03_VC75_1,HC03_VC76_1,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
439,low,HC03_VC75_3,HC03_VC76_2,HC03_VC77_1,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
440,low,HC03_VC75_4,HC03_VC76_4,HC03_VC77_3,HC03_VC78_4,HC03_VC79_1,HC03_VC80_1
441,low,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
442,low,HC03_VC75_4,HC03_VC76_1,HC03_VC77_2,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
443,low,HC03_VC75_2,HC03_VC76_1,HC03_VC77_1,HC03_VC78_3,HC03_VC79_2,HC03_VC80_4
444,low,HC03_VC75_4,HC03_VC76_4,HC03_VC77_2,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
445,low,HC03_VC75_4,HC03_VC76_2,HC03_VC77_4,HC03_VC78_1,HC03_VC79_1,HC03_VC80_3
446,low,HC03_VC75_3,HC03_VC76_1,HC03_VC77_1,HC03_VC78_4,HC03_VC79_1,HC03_VC80_3
447,low,HC03_VC75_4,HC03_VC76_1,HC03_VC77_4,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
448,low,HC03_VC75_4,HC03_VC76_4,HC03_VC77_2,HC03_VC78_4,HC03_VC79_1,HC03_VC80_3
449,low,HC03_VC75_4,HC03_VC76_2,HC03_VC77_4,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
450,low,HC03_VC75_4,HC03_VC76_2,HC03_VC77_1,HC03_VC78_3,HC03_VC79_1,HC03_VC80_4
451,low,HC03_VC75_4,HC03_VC76_4,HC03_VC77_3,HC03_VC78_1,HC03_VC79_3,HC03_VC80_2
452,low,HC03_VC75_4,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
453,low,HC03_VC75_3,HC03_VC76_3,HC03_VC77_3,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
454,low,HC03_VC75_4,HC03_VC76_1,HC03_VC77_3,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
455,low,HC03_VC75_3,HC03_VC76_4,HC03_VC77_1,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
456,low,HC03_VC75_4,HC03_VC76_3,HC03_VC77_1,HC03_VC78_1,HC03_VC79_3,HC03_VC80_4
457,low,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
458,low,HC03_VC75_3,HC03_VC76_1,HC03_VC77_2,HC03_VC78_3,HC03_VC79_1,HC03_VC80_4
459,low,HC03_VC75_4,HC03_VC76_2,HC03_VC77_2,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
